ProductID;EID;PID;VID;Department;Category;Type;Product Title;Finish1;Treatment;Hanging Method;Shade Color;Shade Shape;Style1;Style2;Style3;Tier
P424051;415512;P424051;87881BK;Ceiling Lights;Under Cabinet / Cove Lights;Puck Lights;Maxim Lighting Countermax Mx-Ld Black LED Puck Light;Black Tones;;;;;;;;
P424055;;P424055;87883SV;Ceiling Lights;Under Cabinet / Cove Lights;Puck Lights;Maxim Lighting Countermax Mx-Ld Silver LED Puck Light;Silver Tones;;;;;;;;
P508717;;P508717;13569CFAF/CRY091;Ceiling Lights;Chandeliers;Chandeliers;Chandelier with Beige / Cream Glass in Auburn Florentine Finish;Bronze / Brown Tones;;Chain Hung;Beige / Cream Tones;Bell;Traditional;Crystal;;4
P666205;481767;P666205;3077-22;Lamps;Table Lamps;Table Top Torchiere Lamps;Modern Table Top Torchiere Lamp with White Glass in Satin Steel Finish;Satin Nickel / Satin Chrome;;;White Tones;Bell;Contemporary / Modern;;;
P666287;416216;P666287;3666-22;Lamps;Floor Lamps;Furniture Lamps;Modern Furniture Lamp with White Shade in Satin Steel Finish;Satin Nickel / Satin Chrome;;;White Tones;;Contemporary / Modern;;;
P832150;;P832150;93-10013;Lamps;Accent Lamps;Logo Lamps;Sterling Lighting Jai Accent Lamp with Coolie Shade;Bronze / Brown Tones;;;Beige / Cream Tones;Empire;Traditional;;;
P854291;478525;P854291;9031-NI;Ceiling Lights;Lighted Pot Racks;Lighted Pot Racks;Lighted Pot Rack in Natural Iron Finish;Bronze / Brown Tones;Natural;Chain Hung;None;;Traditional;Old World;;
P867843;;P867843;9485-962;Ceiling Lights;Under Cabinet / Cove Lights;Puck Lights;Sea Gull Lighting Brushed Nickel 3.125-Inch Xenon Disk Light;Satin Nickel / Satin Chrome;Brushed;;;;;;;
P944516;626180;P944516;LS-22160;Lamps;Table Lamps;Table Top Torchiere Lamps;Modern Table Top Torchiere Lamp with White Glass in Chrome / Clear Finish;Chrome;;;White Tones;Oval;Contemporary / Modern;;;
P950752;434696;P950752;53561;Ceiling Lights;Under Cabinet / Cove Lights;Tape Lights;Maxim Lighting Starstrand 12-Inch LED Tape Light;Black Tones;;;;;;;;
P950753;434695;P950753;53562;Ceiling Lights;Under Cabinet / Cove Lights;Tape Lights;Maxim Lighting Starstrand 60-Inch LED Tape Light;Black Tones;;;;;;;;
P950754;430397;P950754;53563;Ceiling Lights;Under Cabinet / Cove Lights;Tape Lights;Maxim Lighting Starstrand 120-Inch LED Tape Light;Black Tones;;;;;;;;
P959564;;P959564;F2756/3IV;Ceiling Lights;Chandeliers;Crystal Chandeliers;Crystal Chandelier in Ivory Finish;Beige Tones;;Chain Hung;None;;Crystal;Traditional;Kids Lighting;1
P965867;553091;P965867;30913BRZ;Lamps;Table Lamps;Table Top Torchiere Lamps;Table Top Torchiere Lamp with Amber Glass in Bronze Finish;Bronze / Brown Tones;;;Amber Tones;Bell;Country / Cottage;Lodge / Rustic / Cabin;;
P965875;458232;P965875;31367ORB;Outdoor;Outdoor Ceiling Lights;Outdoor Chandeliers;Outdoor Chandelier with Taupe Shades in Oil Rubbed Bronze Finish;Bronze / Brown Tones;Oil Rubbed;Chain Hung;Taupe Tones;;Transitional;;;
P966281;449519;P966281;90304GC;Ceiling Lights;Lighted Pot Racks;Lighted Pot Racks;Lighted Pot Rack in Gilded Copper Finish;Copper Tones;;Chain Hung;Copper Tones;;Country / Cottage;Lodge / Rustic / Cabin;;
P966282;557631;P966282;90308BRZ;Ceiling Lights;Lighted Pot Racks;Lighted Pot Racks;Lighted Pot Rack in Bronze Finish;Bronze / Brown Tones;;Chain Hung;Bronze Tones;;Country / Cottage;Lodge / Rustic / Cabin;;
P966294;435672;P966294;90505AGC;Ceiling Lights;Lighted Pot Racks;Lighted Pot Racks;Lighted Pot Rack with Amber Glass in Aged Golden Copper Finish;Copper Tones;;Chain Hung;Amber Tones;;Traditional;;;
P966389;483852;P966389;91562RBRZ;Ceiling Lights;Lighted Pot Racks;Lighted Pot Racks;Drum Pendant Light with Amber Glass in Royal Bronze Finish;Bronze / Brown Tones;;Chain Hung;Amber Tones;;Transitional;;;
